,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,cidreira,-30.17,-50.22,54.77,78.0,0.0,3.69
1,rikitea,-23.12,-134.97,73.31,79.0,95.0,25.28
2,kabo,7.69,18.62,70.61,92.0,0.0,3.85
4,roebourne,-20.77,117.15,71.69,69.0,98.0,15.97
5,saint george,39.45,22.34,70.65,88.0,20.0,0.58
6,puerto ayora,-0.74,-90.35,72.95,88.0,62.0,10.49
7,bredasdorp,-34.53,20.04,46.4,75.0,100.0,1.12
8,ushuaia,-54.81,-68.31,33.8,80.0,0.0,4.88
9,sao filipe,14.9,-24.5,73.49,86.0,0.0,21.88
10,biltine,14.53,20.93,89.15,25.0,0.0,2.75
11,torbay,47.66,-52.73,48.45,76.0,20.0,2.24
12,siavonga,-16.54,28.71,56.39,72.0,0.0,3.27
13,strezhevoy,60.73,77.6,55.4,87.0,40.0,8.95
14,qasigiannguit,68.82,-51.19,42.8,87.0,100.0,4.7
15,new norfolk,-42.78,147.06,49.06,76.0,40.0,12.75
16,punta arenas,-53.16,-70.91,37.18,74.0,90.0,8.05
18,cornelius,45.52,-123.06,63.75,51.0,75.0,16.11
19,tasiilaq,65.61,-37.64,33.8,65.0,11.0,10.29
20,tiksi,71.64,128.87,48.11,66.0,7.0,11.88
21,aklavik,68.22,-135.01,64.4,34.0,75.0,3.36
22,otane,-39.89,176.62,59.0,63.0,0.0,5.99
23,namatanai,-3.66,152.44,80.87,84.0,74.0,10.13
24,banda aceh,5.56,95.32,83.38,80.0,91.0,17.0
25,samarai,-10.62,150.67,76.19,93.0,100.0,7.4
26,port elizabeth,39.31,-74.98,75.13,88.0,20.0,3.36
27,boyuibe,-20.43,-63.28,52.43,78.0,0.0,3.87
28,fortuna,38.18,-1.13,69.87,83.0,75.0,5.82
29,busselton,-33.64,115.35,55.0,58.0,30.0,3.0
30,kaitangata,-46.28,169.85,55.99,52.0,4.0,5.99
31,fez,34.03,-5.02,60.8,87.0,0.0,6.93
32,abapo,-18.83,-63.47,55.49,76.0,0.0,2.35
33,praia,-20.25,-43.81,61.75,77.0,0.0,3.04
34,chihuahua,28.66,-106.08,95.0,9.0,75.0,12.75
